Epoch,VS MSE,VS percentage,training MSE
1,0.2762009502000793,0.21212121212121213,0.2647673862911679
2,0.48380486527979977,0.47474747474747475,0.49158511802765564
3,0.46007177437856617,0.47474747474747475,0.47018734538799367
4,0.440942993693733,0.494949494949495,0.4511543450753456
5,0.4233104587056027,0.5656565656565656,0.4332139339617326
6,0.40632038545359467,0.5656565656565656,0.41597815127541804
7,0.3930610524381552,0.5353535353535354,0.40246207733570644
8,0.3845817852920608,0.5959595959595959,0.39354998363461674
9,0.37873774331978555,0.5959595959595959,0.3872255767693338
10,0.3742857694021594,0.5959595959595959,0.3823401121704155
11,0.37071996009914115,0.5959595959595959,0.3784178343648962
12,0.3677771739300932,0.5959595959595959,0.37519724031436835
13,0.36528087896487027,0.5959595959595959,0.3724928856359534
14,0.3631022370744565,0.5959595959595959,0.3701641316008283
15,0.36114642309412165,0.5959595959595959,0.3681045963414504
16,0.3593443469855481,0.5959595959595959,0.3662349974626137
17,0.35764658379231323,0.5959595959595959,0.3644973209074414
18,0.35601880822232324,0.5959595959595959,0.36285013409957045
19,0.35443825821535097,0.5959595959595959,0.36126481560087625
20,0.3528908818490784,0.6060606060606061,0.35972246977982947
21,0.35136898442378744,0.6060606060606061,0.3582113856822338
22,0.35271170701562554,0.5858585858585859,0.35672497303571765
23,0.3512645824841353,0.5858585858585859,0.35526013585123184
24,0.3498394259571921,0.5959595959595959,0.35381604135728273
25,0.34843863786718854,0.5959595959595959,0.35239322968838804
26,0.34706500149071906,0.6262626262626263,0.3509930003649563
27,0.3457213410249019,0.6262626262626263,0.34961700982152827
28,0.3444103246391293,0.6262626262626263,0.34826701989382414
29,0.3431343618032673,0.6262626262626263,0.3469447477603235
30,0.34189555701474117,0.6262626262626263,0.34565178026151744
31,0.3406956945650642,0.6262626262626263,0.3443895272113873
32,0.3395362391727371,0.6161616161616161,0.343159197719013
33,0.33841834443176694,0.6161616161616161,0.34196179015403794
34,0.3373428653155477,0.6161616161616161,0.3407980904923713
35,0.3363103731626928,0.6161616161616161,0.33966867603350237
36,0.3353211724728533,0.6161616161616161,0.33857392261162333
37,0.334375319115327,0.6161616161616161,0.33751401400303305
38,0.33347263961138696,0.6161616161616161,0.3364889526104186
39,0.33261275117831673,0.6161616161616161,0.33549857082642676
40,0.33179508225768206,0.6161616161616161,0.3345425427583486
41,0.33101889326532363,0.6161616161616161,0.3336203961915677
42,0.33028329726233735,0.6161616161616161,0.3327315247421969
43,0.3295872801445493,0.6161616161616161,0.33187520009070315
44,0.3289297198023485,0.6161616161616161,0.3310505840268516
45,0.32830940355635724,0.6161616161616161,0.3302567398289461
46,0.3277250430831433,0.6161616161616161,0.32949264231935155
47,0.3271752860673684,0.6161616161616161,0.3287571858581732
48,0.32665872400407914,0.6161616161616161,0.32804918962420015
49,0.3261738959625191,0.6161616161616161,0.3273673998352939
50,0.3277931000973788,0.6161616161616161,0.3267104890968562
51,0.32736177464112975,0.6161616161616161,0.3260770538059703
52,0.32695663125619584,0.6161616161616161,0.32546561138090835
53,0.32657603447284095,0.6161616161616161,0.3248745998509561
54,0.3262182925008549,0.6262626262626263,0.3243023827814974
